DIRECTORIO;CANT_HOG_COMPLETOS;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P1070;P4005;P4015;P4567;P8520;P8520S1;P8520S1A1;P8520S3;P8520S4;P8520S4A1;P8520S5;P4065;P4065S1;P4065S2;P4065S3;P4065S4;P5661;P5661S1;P5661S2;P5661S3;P5661S4;P5661S5;P5661S6;P5661S7;P5661S9;P1891;P1891S1;P1891S2;P1891S3;P1891S4;P1891S5;FEX_C;CLASE
6000071;1;1;1;1;1;1;6;4; ;1;1;1;1;3;1; ;2;2;2;2; ;1;3;2;2;2;2;3;1; ;2;2;2;2;2;274,778826689231;1
6000072;1;1;1;1;1;1;4;4; ;1;1;1;1;3;1; ;2;2;2;2; ;4;1;2;1;1;4;2;1; ;2;2;2;2;2;307,910951598643;1
6000073;1;1;1;1;1;1;6;4; ;1;1;1;1;2;1; ;2;2;2;2; ;2;2;2;1;1;2;2;1; ;2;2;2;1;2;239,650384450975;1
6000074;1;1;1;1;1;1;6;4; ;1;1;1;1;3;1; ;2;2;2;2; ;1;1;2;2;1;1;2;1; ;1;1;2;1;1;502,180692208428;1
6000075;1;1;1;1;1;1;4;4; ;1;1;1;1;2;1; ;2;2;2;2; ;4;2;2;1;1;2;1;1; ;1;2;2;2;2;443,219806845584;1
6000076;1;1;1;1;2;1;4;4; ;1;1;1;1;3;1; ;2;2;2;2; ;1;1;2;2;1;2;2;1; ;2;2;2;2;2;239,650384450975;1
6000077;1;1;1;1;1;8;6;4; ;1;1;1;1;2;1; ;2;2;2;2; ;1;2;2;1;1;2;2;1; ;2;2;2;2;2;443,219806845584;1
6000079;1;1;1;1;1;1;4;4; ;1;1;1;1;2;1; ;2;2;2;2; ;2;2;1;1;1;2;2;1; ;2;2;2;2;2;307,910951598643;1
6000080;1;1;1;1;1;8;6;4; ;1;1;1;1;3;1; ;2;2;2;2; ;1;2;2;1;1;2;2;1; ;2;2;2;2;2;239,650384450975;1
6000082;1;1;1;1;1;1;6;4; ;1;1;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;2;2;1; ;2;1;1;1;2;398,417888867364;1
6000083;1;1;1;1;2;1;6;4; ;1;1;1;1;3;1; ;2;2;2;2; ;4;1;1;1;1;1;1;1; ;2;1;2;2;2;239,650384450975;1
6000084;1;1;1;1;2;1;6;4; ;1;1;1;1;2;1; ;2;2;2;2; ;2;2;1;1;1;2;2;1; ;2;2;2;2;2;239,650384450975;1
6000085;1;1;1;1;1;1;4;4; ;1;2;1;1;3;2; ;2;2;2;2; ;1;1;1;1;1;2;2;1; ;2;2;2;2;2;593,631274227703;1
6000086;1;1;1;1;1;1;4;3; ;1;2;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;2;2;2;2;2;826,707773307591;1
6000087;1;1;1;1;1;1;4;4; ;1;2;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;2;2;1; ;2;2;2;2;2;311,954009083456;1
6000088;1;1;1;1;1;1;4;4; ;1;2;1;1;2;1; ;2;2;2;2; ;1;2;2;1;1;2;2;1; ;2;2;2;2;2;418,493137476269;1
6000089;1;1;1;1;1;1;4;3; ;1;3;1;1;2;1; ;2;2;2;2; ;1;1;1;1;1;1;1;2; ;1;1;1;2;1;453,44782183686;1
6000090;1;1;1;1;1;1;4;3; ;1;2;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;1;2;1; ;2;1;1;2;2;380,396438297017;1
6000096;1;1;1;1;2;1;4;1; ;1;3;1;1;2;1; ;2;2;2;2; ;3;1;3;3;1;1;1;1; ;2;2;2;2;2;1231,67943326244;1
6000097;1;1;1;1;2;1;4;4; ;1;3;1;1;2;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;2;2;2;2;2;937,87932189766;1
6000098;1;1;1;1;2;1;4;3; ;1;4;1;1;2;1; ;2;2;2;2; ;1;1;1;4;4;1;1;1; ;2;2;2;2;2;1559,83616346744;1
6000099;1;1;1;1;2;1;5;2; ;1;2;1;1;2;1; ;2;2;2;2; ;2;1;1;1;1;1;1;1; ;2;2;2;2;2;1181,05149222442;1
6000100;1;1;1;1;2;1;4;2; ;1;2;1;1;2;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;2;2;2;2;2;1559,83616346744;1
6000101;1;1;1;1;2;1;4;2; ;1;2;1;1;2;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;2;2;2;2;2;1390,17593426089;1
6000102;1;1;1;1;2;1;4;3; ;1;2;1;1;2;1; ;2;2;2;2; ;1;3;1;1;1;4;1;1; ;2;2;2;2;2;1325,88023976096;1
6000103;1;1;1;1;2;1;4;3; ;1;2;1;1;3;1; ;2;2;2;2; ;1;3;1;1;1;2;2;1; ;1;2;1;2;2;1277,04283232424;1
6000104;1;1;1;1;1;1;4;3; ;1;2;1;1;2;1; ;2;2;2;2; ;4;2;2;1;1;1;1;1; ;2;2;2;2;1;728,243450960028;1
6000105;1;1;1;1;1;1;4;3; ;1;2;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;2;2;2;2;2;1110,72709514268;1
6000106;1;1;1;1;2;1;4;3; ;1;1;1;1;3;1; ;2;2;2;2; ;1;2;1;2;2;2;2;1; ;2;2;2;2;2;1109,25406757958;1
6000107;1;1;1;1;1;1;6;3; ;1;1;1;1;3;1; ;2;2;2;2; ;2;2;2;2;1;2;2;2; ;2;2;2;2;2;663,117529461604;1
6000108;1;1;1;1;2;1;4;3; ;1;2;1;1;2;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;2;2;2;2;2;1123,58206722071;1
6000109;1;1;1;1;1;1;4;4; ;1;1;1;1;2;1; ;2;2;2;2; ;1;1;2;1;1;4;4;1; ;2;1;1;2;2;2137,05621102599;1
6000110;1;1;1;1;1;1;6;1; ;1;1;1;1;2;1; ;2;2;2;2; ;4;1;1;4;4;1;1;1; ;2;1;2;2;2;1514,98616931118;1
6000111;1;1;1;1;2;1;4;3; ;1;1;1;1;2;1; ;2;2;2;2; ;2;4;4;2;1;4;1;1; ;2;2;2;2;2;1601,26897681417;1
6000112;1;1;1;1;1;1;4;1; ;1;1;1;1;2;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;2;1;2;2;2;1787,17485125168;1
6000113;1;1;1;1;2;1;4;3; ;1;1;1;1;2;1; ;2;2;2;2; ;1;1;2;1;1;2;4;1; ;2;2;2;2;2;3018,31429883287;1
6000114;1;1;1;1;2;1;4;1; ;1;1;1;1;2;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;2;2;2;2;2;1433,15357723988;1
6000115;1;1;1;1;2;1;4;3; ;1;1;1;1;2;1; ;2;2;2;2; ;1;2;1;1;4;3;1;1; ;2;2;2;2;2;2221,59014700196;1
6000116;1;1;1;1;2;1;4;1; ;1;1;1;1;2;1; ;2;2;2;2; ;2;1;2;1;2;1;2;2; ;2;1;1;2;1;1762,90259529314;1
6000117;1;1;1;1;2;1;6;2; ;1;1;1;1;2;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;2;2;2;2;2;1976,74778628164;1
6000118;1;1;1;1;2;1;4;1; ;1;1;1;1;2;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;2;2;2;2;2;1423,60858228147;1
6000119;1;1;1;1;2;1;4;3; ;1;2;1;1;2;1; ;2;2;2;2; ;1;1;1;4;1;1;1;1; ;1;1;1;2;2;1332,23099525175;1
6000122;1;1;1;1;2;1;4;3; ;1;1;1;1;2;1; ;2;2;2;2; ;1;1;1;1;1;4;1;1; ;2;2;2;2;2;1723,73658077295;1
6000123;1;1;1;1;2;1;4;1; ;1;2;1;1;2;1; ;2;2;2;2; ;2;1;1;1;1;1;1;1; ;2;2;2;2;2;2322,51272899009;1
6000124;1;1;1;1;2;1;4;3; ;1;1;1;1;2;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;1;1;2;2;1;1154,54810121091;1
6000125;1;1;1;1;2;1;4;3; ;1;1;1;1;2;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;2;2;2;2;2;1626,84816146755;1
6000126;1;1;1;1;1;1;4;1; ;1;2;1;1;2;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;2;2;2;2;2;2602,48694154788;1
6000128;1;1;1;1;1;1;4;3; ;1;1;1;1;2;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;2;2;2;2;2;2049,36918176036;1
6000129;1;1;1;1;2;1;4;1; ;1;1;1;1;2;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;2;2;2;2;2;4726,27952245645;1
6000130;1;1;1;1;1;1;6;3; ;1;1;1;1;2;1; ;2;2;2;2; ;1;1;1;1;1;3;2;1; ;2;1;2;2;2;4735,44399201193;1
6000131;1;1;1;1;2;1;6;4; ;1;1;1;1;2;1; ;2;2;2;2; ;1;2;2;2;2;4;4;1; ;1;1;1;2;1;7099,98731391027;1
6000132;1;1;1;1;1;1;4;1; ;1;1;1;1;2;1; ;2;2;2;2; ;1;2;2;1;1;1;1;1; ;2;2;1;2;2;4554,39003409484;1
6000133;1;1;1;1;2;1;4;1; ;1;1;1;1;2;1; ;2;2;2;2; ;1;1;1;1;1;2;1;1; ;2;2;2;2;2;4518,95748629842;1
6000134;1;1;1;1;2;1;4;1; ;1;1;1;1;2;1; ;2;2;2;2; ;2;2;1;1;4;2;1;1; ;1;2;2;2;2;6224,1886077632;1
6000136;1;1;1;1;1;1;4;1; ;1;1;1;1;3;1; ;2;2;2;2; ;1;2;1;1;1;1;1;1; ;2;2;2;2;2;4363,27338250817;1
6000137;1;1;1;1;2;1;6;1; ;1;1;1;1;3;1; ;2;2;2;2; ;1;2;2;1;1;1;1;2; ;2;2;2;2;2;4057,95538975968;1
6000138;1;1;1;1;1;1;4;1; ;1;1;1;1;3;1; ;2;2;2;2; ;1;2;2;2;2;3;3;3; ;2;2;2;2;2;3498,27848512331;1
6000139;1;1;1;1;2;1;4;1; ;1;1;1;1;3;1; ;2;2;2;2; ;4;1;1;1;1;1;1;1; ;2;2;2;2;2;5399,00646421399;1
6000140;1;1;1;1;1;1;4;1; ;1;2;1;1;3;1; ;2;2;2;2; ;2;2;1;1;2;1;1;4; ;2;2;2;2;2;3224,67566280214;1
6000141;1;1;1;1;2;1;4;1; ;1;1;2;1;3;1; ;1;2;2;2; ;1;4;4;4;1;1;4;4; ;2;2;2;2;2;5666,79095764801;1
6000143;1;1;1;1;1;1;4;1; ;1;1;2;1;3;1; ;2;2;2;2; ;1;3;2;2;1;3;3;3; ;1;1;2;2;2;3709,11589527742;1
6000144;1;1;1;1;2;1;6;3; ;1;1;2;1;2;1; ;2;2;2;2; ;1;3;4;2;2;1;4;4; ;2;2;2;1;2;3982,71871759858;1
6000145;1;1;1;1;1;1;6;1; ;1;1;2;1;3;1; ;2;2;2;2; ;2;3;3;3;2;3;3;3; ;1;1;2;2;2;3377,06821197668;1
6000146;1;1;1;1;2;1;4;3; ;1;1;2;1;3;1; ;1;2;2;2; ;1;2;2;1;1;3;3;2; ;2;1;2;2;2;5487,83795124897;1
6000147;1;1;1;1;2;1;4;3; ;1;1;2;1;3;1; ;2;2;2;2; ;1;2;1;1;1;2;2;2; ;2;2;2;2;2;5644,48077219201;1
6000148;1;1;1;1;1;1;4;3; ;1;2;1;1;3;1; ;2;2;2;2; ;1;2;2;2;2;1;2;1; ;1;1;1;2;1;559,077078531972;1
6000150;1;1;1;1;1;1;4;4; ;1;1;1;1;3;1; ;2;2;2;2; ;3;3;2;1;1;2;2;1; ;2;2;2;2;2;365,857085667381;1
6000152;1;1;1;1;2;1;4;1; ;1;1;1;1;3;1; ;2;2;2;2; ;4;4;4;1;1;2;2;1; ;2;2;2;2;2;434,586962033729;1
6000153;1;1;1;1;2;1;4;3; ;1;1;1;1;3;1; ;2;2;2;2; ;2;2;2;2;1;2;2;1; ;2;1;2;2;2;409,480397522358;1
6000154;1;1;1;1;1;1;6;3; ;1;1;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;2;2;2;2;2;586,27108546065;1
6000155;1;1;1;1;1;1;6;4; ;1;2;1;1;3;1; ;2;2;2;2; ;1;1;1;2;1;2;2;1; ;1;1;2;2;2;243,332320561534;1
6000156;1;1;1;1;3;1;6;3; ;1;2;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;2;2;1; ;2;1;2;2;2;456,794456489715;1
6000157;1;1;1;1;1;1;6;3; ;1;1;1;1;3;1; ;2;2;2;2; ;2;1;1;1;1;1;2;1; ;2;2;2;2;2;243,332320561534;1
6000158;1;1;1;1;3;1;6;3; ;1;2;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;2;2;1; ;1;1;2;2;2;312,641628138657;1
6000159;1;1;1;1;2;1;4;3; ;1;2;1;1;3;1; ;2;2;2;2; ;2;2;1;1;1;2;2;1; ;2;2;2;2;2;424,922774542887;1
6000160;1;1;1;1;2;1;4;3; ;1;2;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;2;2;1; ;2;1;2;2;2;434,586962033729;1
6000162;1;1;1;1;2;1;4;1; ;1;2;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;2;2;2;2;2;673,119516552202;1
6000163;1;1;1;1;1;1;6;4; ;1;2;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;2;2;1; ;1;1;1;1;2;312,641628138657;1
6000164;1;1;1;1;1;1;4;3; ;1;2;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;1;1;2; ;2;2;2;2;2;243,332320561534;1
6000166;1;1;1;1;2;1;4;3; ;1;2;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;2;2;1; ;1;1;2;2;2;696,350961997992;1
6000167;1;1;1;1;1;1;4;3; ;1;2;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;1;2;1; ;1;1;2;2;1;365,813966788245;1
6000169;1;1;1;1;3;1;4;3; ;1;2;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;2;2;2;2;2;511,771205634439;1
6000170;1;1;1;1;3;1;4;3; ;1;3;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;2;2;2;2;2;511,771205634439;1
6000171;1;1;1;1;1;1;4;1; ;1;2;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;1;2;2;2;2;539,836979772656;1
6000172;1;1;1;1;1;1;4;3; ;1;2;1;1;3;1; ;2;2;2;2; ;1;1;1;2;1;1;2;1; ;2;2;2;2;2;365,813966788245;1
6000174;1;1;1;1;1;1;1;3; ;1;2;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;2;2;2;2;2;243,332320561534;1
6000175;1;1;1;1;1;1;6;3; ;1;2;1;1;3;1; ;2;2;2;2; ;2;2;2;2;2;2;2;4; ;1;1;2;1;2;288,681028136494;1
6000176;1;1;1;1;2;1;4;3; ;1;3;1;1;3;1; ;2;2;2;2; ;2;1;2;2;4;2;1;1; ;2;1;2;2;2;312,641628138657;1
6000177;1;1;1;1;1;2;4;2; ;1;3;1;1;3;1; ;2;2;2;2; ;1;1;2;1;1;2;2;1; ;1;1;2;2;1;1599,71401291498;1
6000178;1;1;1;1;1;1;4;2; ;1;3;1;1;3;1; ;2;2;2;2; ;1;2;2;1;1;3;1;2; ;2;1;2;2;2;1930,35887287456;1
6000179;1;1;1;1;1;1;4;2; ;1;3;1;1;3;1; ;2;2;2;2; ;1;1;2;1;1;3;2;1; ;2;2;1;2;2;1755,40642950412;1
6000180;1;1;1;1;1;1;4;2; ;1;3;1;1;3;1; ;2;2;2;2; ;3;1;1;1;1;2;3;1; ;2;2;1;2;1;1924,77862343615;1
6000181;1;1;1;1;1;1;4;2; ;1;3;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;2;2;1; ;2;2;2;2;2;2276,62320562677;1
6000182;1;1;1;1;1;1;4;5; ;1;3;1;1;3;1; ;2;2;2;2; ;1;2;2;1;1;3;1;1; ;2;1;2;2;2;2186,82852424186;1
6000183;1;1;1;1;1;1;4;2; ;1;3;1;1;3;1; ;2;2;2;2; ;1;3;1;1;1;3;2;1; ;1;1;2;2;2;1856,75988581106;1
6000184;1;1;1;1;2;1;4;4; ;1;1;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;2;2;2;2;2;2830,23147525767;1
6000185;1;1;1;1;1;1;6;4; ;1;1;1;1;2;1; ;2;2;2;2; ;1;2;2;1;1;1;2;1; ;2;2;2;2;2;3022,87995420637;1
6000186;1;1;1;1;1;1;4;4; ;1;1;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;2;1;1; ;1;1;2;2;2;2385,69825794278;1
6000187;1;1;1;1;1;1;6;4; ;1;1;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;2;1;2;2;2;2668,48533984081;1
6000188;1;1;1;1;1;5;6;4; ;1;1;1;1;3;1; ;2;2;2;2; ;1;1;2;2;1;2;4;1; ;2;1;2;1;2;3329,4202757458;1
6000189;1;1;1;1;1;1;6;1; ;1;1;1;1;3;1; ;2;2;2;2; ;3;1;1;1;1;1;1;4; ;2;2;2;2;2;3161,02844429858;1
6000190;1;1;1;1;3;1;6;4; ;1;1;1;1;3;1; ;2;2;2;2; ;4;1;3;1;2;4;4;1; ;2;1;2;2;2;2715,05208064715;1
6000191;1;1;1;1;2;1;4;4; ;1;1;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;2;1;1;2;2;2762,63182025347;1
6000192;1;1;1;1;1;1;6;4; ;1;1;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;2;1;1;2;2;3182,82741492696;1
6000193;1;1;1;1;2;1;4;1; ;1;1;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;2;2;2;2;2;2264,82629645753;1
6000194;1;1;1;1;2;1;6;4; ;1;1;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;2;1;1;1;2;2385,69825794278;1
6000195;1;1;1;1;1;1;6;4; ;1;1;1;1;3;1; ;2;2;2;2; ;3;1;1;1;1;1;1;1; ;2;2;2;2;2;2900,04033302893;1
6000196;1;1;1;1;2;8;6;4; ;1;1;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;1;1;1; ;2;1;2;2;2;2607,96486660022;1
6000197;1;1;1;1;3;5;6;4; ;1;1;1;1;3;1; ;2;2;2;2; ;1;1;1;1;1;1;3;1; ;2;2;2;2;2;2883,26223866384;1
6000198;1;1;1;1;3;1;6;4; ;1;1;1;1;3;1; ;2;2;2;2; ;3;1;1;1;1;1;2;1; ;2;1;2;2;2;2385,69825794278;1
